Type,Force,Category,Price per item (GBP),Number of items,Purchase date,Additional information
Services,suffolk,Standard office cleaning (force average per m2 per year),13.81,1,31/01/16,"The force-supplier's charging model is not on a per m2 basis and so the price given has been calculated, not contracted, which (1) includes all sites cleaned under the facilities management contract; window cleaning and consumables; and (2) excludes some areas and sites; landlord service charges e.g. fire stations; reactive cleaning e.g. medical centre and operational vehicle cleaning; one-off work such as carpet cleaning."
Services,suffolk,"Gas supply to force headquarters (in ?, based on cost in p per kWh)",0.0191,2060865,01/10/15,
Services,suffolk,Laptop purchase,807.66,20,01/02/16,"Standard specifications; including pre loaded software; 5-year support; 256GB SSD; 3 cell battery, no touchscreen."
Services,suffolk,Desktop purchase,531.3,150,25/01/16,Mixed specifications; pre loaded software; 5 year support; i7; 8GB RAM; 500GB HDD
Services,suffolk,"PC monitor - 19"" or smaller (inc. cables)",104.94,50,24/09/15,
Services,suffolk,"PC monitor - 21"" or wider (inc. cables)",95.95,100,09/02/16,
Services,suffolk,Telephone call charges (per minute),0.01,11,31/01/16,Majority of calls are now VOIP incurring no additional costs.
Services,kent,DNA test,,,,Information not provided.
Services,kent,Toxicology test,25.33,1,01/02/16,
Services,kent,Mobile phone examination,,,,Service provided in-house.
Services,kent,Forensic stain analysis,126,1,01/01/16,
Services,kent,Credit report or search,4.25,1,01/02/16,Information provided for vetting - personal reports.
Services,kent,Temporary staff administrator role,8.06,1,01/02/16,
Services,kent,one-day car hire,21.2,1,01/02/16,
Services,kent,30-day car hire,,,,The force has never booked a 30-day car hire.
Services,kent,Ream of 500 sheets of white paper,2.03,20,01/02/16,Information provided not comparable with data requested.
Services,kent,Telephone interpreting inc. recording services (per minute),0.68,,01/02/16,Information on volumes not provided.
Services,kent,Face-to-face interpreting for 4 hours (half-day),86.4,4,01/02/16,
Services,kent,Standard office cleaning (force average per m2 per year),12.37,,01/02/16,Information on volumes not provided.
Services,kent,"Gas supply to force headquarters (in ?, based on cost in p per kWh)",0.03,,,Information on volumes not provided.
Services,kent,Laptop purchase,542.76,490,12/02/16,
Services,kent,Desktop purchase,389.8,450,12/02/15,
Services,kent,"PC monitor - 19"" or smaller (inc. cables)",95.4,300,15/02/15,
Services,kent,"PC monitor - 21"" or wider (inc. cables)",94.21,12,05/02/16,
Services,kent,Telephone call charges (per minute),,,,The force uses an Internet Protocol based service.
Services,sussex,DNA test,18.21,1,15/01/16,No information on volumes.
Services,sussex,Toxicology test,25.33,1,15/02/16,Volume information not provided.
Services,sussex,Mobile phone examination,150,1,01/02/16,Information provided for level 2 sim card and handset standard examination (14 days). Fixed price for standard examination regardless of volumes.
Services,sussex,Forensic stain analysis,100,1,15/02/16,Information on volumes not provided.
Services,sussex,Credit report or search,1.35,1,01/11/15,Volume information not provided.
Services,sussex,Temporary staff administrator role,12.75,18,01/02/16,General administrator costs.
Services,sussex,one-day car hire,19.79,1,01/12/15, Rate excludes ?2.50 collection / delivery charge each way.
Services,sussex,30-day car hire,12.25,30,01/12/15,
Services,sussex,Ream of 500 sheets of white paper,2.37,375,01/02/16,Basic paper 75g - 75 boxes of 5 reams - ?11.85 per box.
Services,sussex,Telephone interpreting inc. recording services (per minute),0.68,,01/02/16,Flat rate interpretation charge per minute. Information on volumes not provided.
Services,sussex,Face-to-face interpreting for 4 hours (half-day),120,2,01/02/16,Add ?23.00 booking fee per assignment. Information provided for 4 hours as daily minimum payment for 2 hours.
Services,sussex,Standard office cleaning (force average per m2 per year),10.19,68829,01/02/16,"Cost information provided for standard cleaning excluding any special cleans, estimated by dividing the total cost by the site surface area so may not be totally accurate. Total surface area: 68,829m2."
Services,sussex,"Gas supply to force headquarters (in ?, based on cost in p per kWh)",0.0198,1808723,31/01/16,Information on volumes based on annual consumption.
Services,sussex,Laptop purchase,465.88,60,12/01/16,Standard specifications HP640 G1.
Services,sussex,Desktop purchase,,50,15/09/15,The force most recently purchased 50 refurbished desktop PCs - at ?99 per unit - not comparable with other forces' purchases.
Services,sussex,"PC monitor - 19"" or smaller (inc. cables)",,,,Monitors of this size are not ordered by the force.
Services,sussex,"PC monitor - 21"" or wider (inc. cables)",123.05,10,08/05/15,"Standard Samsung S243450F. The force does not purchase monitors of this size. Information provided for purchases of monitors size 24""."
Services,sussex,Telephone call charges (per minute),,,,For telephone call charges the force has been on an Internet Protocol based system for the last 2 years so call charges are not available.
Services,leicestershire,DNA test,19.4,1,31/01/16,Information provided for the force's equivalent under the National Forensics Framework code 07BFA1. Volume information on the most recent purchase is not available. Derbyshire Constabulary is the lead force from our collaborative forensic services.
Services,leicestershire,Toxicology test,27.65,1,31/01/16,The code for the force's equivalent item for comparison under the National Forensics Framework is 01TOXA1. Volume information not provided. Derbyshire Constabulary is the lead force from the force's collaborative forensic services.
Services,leicestershire,Mobile phone examination,,,,These services are provided by in-house staff.
Services,leicestershire,Forensic stain analysis,118.5,1,31/01/16,"There is no direct match for the described item used by this force under the National Forensics Framework. Information provided for the closest equivalent item code 10BFA1 used by the force, which is for DNA profiling only, after an examination has taken place (however, this does not appear as an option for crime stains) although 22BF applies to both intelligence and casework stains so is also part of code 01BF purchased from the supplier for ?118.50, and code 02BF for ?165.00."
Services,leicestershire,Credit report or search,1.1,2024,31/01/16,"Information provided for staff vetting: volume shown is contracted annually. Crime management / supplier evaluation credit reports cost ?4.25 each for annual contracted volumes of 11,731. In January 2016 the force used 2,234 reports from the total contracted allowance but there is no breakdown of this volume. Contract is invoiced via an annual licence based on estimated usage, with extra usage billed at end of year."
Services,leicestershire,Temporary staff administrator role,8.98,,31/01/16,Information on volumes not provided.
Services,leicestershire,one-day car hire,24.24,1,31/01/16,Price includes delivery and collection fees of ?2.50 each way.
Services,leicestershire,30-day car hire,16.78,30,31/01/16,"Price includes delivery and collection fees. Volume shown is indicative, as the force hires more than one vehicle at a time."
Services,leicestershire,Ream of 500 sheets of white paper,1.93,50,31/01/16,
Services,leicestershire,Telephone interpreting inc. recording services (per minute),0.68,,,
Services,leicestershire,Face-to-face interpreting for 4 hours (half-day),151.4,4,31/01/16,Please note the costs include travel and other expenses - which cannot be extracted from total costs.
Services,leicestershire,Standard office cleaning (force average per m2 per year),,,,"Information provided not comparable with requested data. In-house cleaning and security manager determines how many cleaning hours are needed at each site and location, not based on m2 but on specific usage of the site. Contract tendering is decided on this basis."
Services,leicestershire,"Gas supply to force headquarters (in ?, based on cost in p per kWh)",0.0188,,31/01/16,
Services,leicestershire,Laptop purchase,761,100,01/01/16,Local specifications.
Services,leicestershire,Desktop purchase,452.02,50,01/11/15,Local specifications.
Services,leicestershire,"PC monitor - 19"" or smaller (inc. cables)",109.95,8,01/12/15,
Services,leicestershire,"PC monitor - 21"" or wider (inc. cables)",,,,The force does not purchase monitors of this size.
Services,leicestershire,Telephone call charges (per minute),0.01,,31/01/16,Information on volumes not provided.
Services,devon-and-cornwall,DNA test,22.5,5475,22/02/16,
Services,devon-and-cornwall,Toxicology test,28.15,222,22/02/16,
Services,devon-and-cornwall,Mobile phone examination,285,1,16/11/15,The force has recently completed a regional tender for this service.
Services,devon-and-cornwall,Forensic stain analysis,110,1,24/02/16,"The force has provided information for starting point 2 of the item described, as it does not use starting point 1."
Services,devon-and-cornwall,Credit report or search,1.1,1,23/02/16,
Services,devon-and-cornwall,Temporary staff administrator role,12.21,3429.5,26/02/16,"Regional mini-competition under the collaborative framework has now been awarded, with the new contract to commence in April 2016."
Services,devon-and-cornwall,one-day car hire,19.79,1,23/02/16,Rate excludes ?2.50 collection / delivery charge each way.
Services,devon-and-cornwall,30-day car hire,12.25,30,22/11/15,
Services,devon-and-cornwall,Ream of 500 sheets of white paper,1.9,25,17/02/16,"Budget copier caper, 75g A4 white. A new national mini competition has just been competed for office supplies under the Crown Commercial Service framework RM3703, and the force will be moving to this contract in June 2016."
Services,devon-and-cornwall,Telephone interpreting inc. recording services (per minute),0.68,45,22/02/16,
Services,devon-and-cornwall,Face-to-face interpreting for 4 hours (half-day),120,4,22/02/16,A registered list of translators from the National Register of Public Service Interpreters are used.
Services,devon-and-cornwall,Standard office cleaning (force average per m2 per year),14.82,104996,01/04/15,"Price provided is per m2 per annum, or ?0.057 per m2 per day."
Services,devon-and-cornwall,"Gas supply to force headquarters (in ?, based on cost in p per kWh)",0.0164,2023148,01/01/16,Information on volumes based on annual consumption.
Services,devon-and-cornwall,Laptop purchase,640,10,18/02/16,Standard specifications laptops purchased through the Devon & Cornwall IT managed services contract.
Services,devon-and-cornwall,Desktop purchase,430,400,18/02/16,Medium specifications desktops purchased through the Devon & Cornwall IT managed services contract.
Services,devon-and-cornwall,"PC monitor - 19"" or smaller (inc. cables)",,,,"The force does not purchase this size of monitors, only 22"". "
Services,devon-and-cornwall,"PC monitor - 21"" or wider (inc. cables)",87.72,18,11/02/16,"The force does not purchase monitors of this size. Purchases are made through the IT managed services contract. The force's standard size is 22""."
Services,devon-and-cornwall,Telephone call charges (per minute),0.0049,2100000,01/01/16,Annual volume.
Services,gwent,DNA test,17,1,28/01/16,Single item purchase. Information not based on a multiple DNA test invoice.
Services,gwent,Toxicology test,28.15,1,04/01/16,Single item purchase. Information not based on a multiple toxicology test invoice.
Services,gwent,Mobile phone examination,360,,,Service not purchased by the force in the last 3 years. In-house service provision.
Services,gwent,Forensic stain analysis,87.3,1,23/12/15,Single item purchase.
Services,gwent,Credit report or search,4.25,4000,15/01/16,"The force pre-pays for 4,000 searches. The rate is per record for a range of services."
Services,gwent,Temporary staff administrator role,12.96,13.5,12/02/16,
Services,gwent,one-day car hire,24.15,1,28/11/14,The force has not hired a car since 2014.
Services,gwent,30-day car hire,17.18,30,02/10/14,The force has not hired a car since 2014.
Services,gwent,Ream of 500 sheets of white paper,1.58,150,21/12/15,
Services,gwent,Telephone interpreting inc. recording services (per minute),0.68,,,The service is secured via the Wales Interpretation and Translation Service.
Services,gwent,Face-to-face interpreting for 4 hours (half-day),120,4,04/02/16,The Wales Interpretation and Translation Service used is a regional public service partnership between 21 organisations in Wales.
Services,gwent,Standard office cleaning (force average per m2 per year),15.65,,01/12/15,"A breakdown of the total surface charge for each site in the force has not been provided. Information provided on the basis of supply of all necessary labour, plant and materials for cleaning services for the month of December 2015."
Services,gwent,"Gas supply to force headquarters (in ?, based on cost in p per kWh)",0.0188,3474,09/02/16,
Services,gwent,Laptop purchase,329.56,1,23/02/16,The force uses a Shared Resource Service collaborative arrangement for the provision of ICT services with three local public sector organisations.
Services,gwent,Desktop purchase,344.02,1,19/05/15,The force uses a Shared Resource Service collaborative arrangement for the provision of ICT services with three local public sector organisations.
Services,gwent,"PC monitor - 19"" or smaller (inc. cables)",82.11,1,19/01/16,"The force uses a Shared Resource Service collaborative arrangement for the provision of ICT services with three local public sector organisations. The force does not purchase this size of monitors, only 20""."
Services,gwent,"PC monitor - 21"" or wider (inc. cables)",,,,"The force does not purchase monitors of this size. Information provided for purchases of monitors size 20""."
Services,gwent,Telephone call charges (per minute),0.02,158673,11/01/16,Estimated volume shown based on last invoice for total time 2644:33:19.
Services,norfolk,DNA test,14.5,1,31/01/16,This item is purchased with a monthly consolidated invoice and the price does not vary as it is based on volumes from the mini competition.
Services,norfolk,Toxicology test,28,1,31/01/16,This item is purchased with a monthly consolidated invoice and the price does not vary as it is based on volumes from the mini competition.
Services,norfolk,Mobile phone examination,95,3,01/02/16,
Services,norfolk,Forensic stain analysis,118.3,1,01/02/16,This item is purchased with a monthly consolidated invoice and the price does not vary as it is based on volumes from the mini competition.
Services,norfolk,Credit report or search,4.25,5632,01/10/15,Average unit price provided. Contract based on historic volume. The forces contracts a bulk purchase of all types of this item at the same price.
Services,norfolk,Temporary staff administrator role,9.03,37,07/03/16,
Services,norfolk,one-day car hire,19.56,1,05/01/16,"Flat rate for 24 hours with no delivery fee or early on / late off surcharge. There are reduced rates for longer hire periods from two days onwards. The force would normally hire a smaller car than requested for comparison, at ?16.11 per day."
Services,norfolk,30-day car hire,12.64,30,08/07/15,"Flat rate for 24 hours with no delivery fee or early on / late off surcharge. There are reduced rates for longer hire periods. The force would normally hire a smaller car at ?10.50 per day, than description requested for comparison."
Services,norfolk,Ream of 500 sheets of white paper,1.62,125,09/02/16,80gsm; with next day delivery as standard.
Services,norfolk,Telephone interpreting inc. recording services (per minute),0.7,41,05/02/16,
Services,norfolk,Face-to-face interpreting for 4 hours (half-day),93.75,4,04/02/16,Rate includes initial booking fee.
Services,norfolk,Standard office cleaning (force average per m2 per year),13.81,1,31/01/16,"The force-supplier's charging model is not on a per m2 basis and so the price given has been calculated, not contracted, which (1) includes all sites cleaned under the facilities management contract; window cleaning and consumables; and (2) excludes some areas and sites; landlord service charges e.g. fire stations; reactive cleaning e.g. medical centre and operational vehicle cleaning; one-off work such as carpet cleaning."
Services,norfolk,"Gas supply to force headquarters (in ?, based on cost in p per kWh)",0.019,2804410,01/10/15,
Services,norfolk,Laptop purchase,807.66,20,01/02/16,"Standard specifications; including pre loaded software; 5-year support; 256GB SSD; 3 cell battery, no touchscreen."
Services,norfolk,Desktop purchase,531.3,150,25/01/16,Mixed specifications; pre loaded software; 5 year support; i7; 8GB RAM; 500GB HDD
Services,norfolk,"PC monitor - 19"" or smaller (inc. cables)",104.94,50,24/09/15,
Services,norfolk,"PC monitor - 21"" or wider (inc. cables)",95.95,100,09/02/16,
Services,norfolk,Telephone call charges (per minute),0.01,11,31/01/16,Majority of calls are now VOIP incurring no additional costs.
Services,greater-manchester,DNA test,17,1,01/02/16,No information on volumes. Multiple purchases of this item on daily basis.
Services,greater-manchester,Toxicology test,35,1,01/02/16,Information provided for the last purchase made in February 2016.
Services,greater-manchester,Mobile phone examination,,,,Mobile phone examination is undertaken in-house within the force.
Services,greater-manchester,Forensic stain analysis,85.54,1,01/02/16,Multiple submissions for testing made daily.
Services,greater-manchester,Credit report or search,0.9,400,01/02/16,Checks as requested by Force Vetting Unit. No current contract in place with supplier.
Services,greater-manchester,Temporary staff administrator role,12.54,,01/02/16,Information provided for the force's minimum pay rate for a B grade. Information on volumes not provided.
Services,greater-manchester,one-day car hire,21.5,3,01/02/16,Cost of ?21.50 per day applies for vehicle hire less than a week long.
Services,greater-manchester,30-day car hire,14.07,215,19/02/16,Day rate applies for vehicle hires a week long or longer.
Services,greater-manchester,Ream of 500 sheets of white paper,1.68,200,26/02/16,Item purchased A4 Value Copier Paper White: ?8.14 for 2500 sheets purchased force-wide by all divisions/departments.
Services,greater-manchester,Telephone interpreting inc. recording services (per minute),0.66,10313,29/02/16,Actual rate is ?0.011 per second. Information on volumes not provided.
Services,greater-manchester,Face-to-face interpreting for 4 hours (half-day),124,1690,29/02/16,"Estimated volume based on 101,398 minutes."
Services,greater-manchester,Standard office cleaning (force average per m2 per year),,,,The force uses an in-house cleaning service.
Services,greater-manchester,"Gas supply to force headquarters (in ?, based on cost in p per kWh)",0.0162,296960,09/02/16,Variable rate contract which changes each month. Price quoted for February 2016.
Services,greater-manchester,Laptop purchase,610.52,2,19/01/16,Add ?292.87 for software install.
Services,greater-manchester,Desktop purchase,386.11,1,02/04/15,"Dell Optiplex 3020 I5 Quad Core @ 3.2ghz, 8gb Ram & 500gb HDD. Add ?292.87 costs for software install."
Services,greater-manchester,"PC monitor - 19"" or smaller (inc. cables)",,,,"The force does not purchase this size of monitors, only 22""."
Services,greater-manchester,"PC monitor - 21"" or wider (inc. cables)",98.88,15,06/03/16,"Information provided for the purchase of 22"" PC monitors. The force does not purchase different size monitors."
Services,greater-manchester,Telephone call charges (per minute),,,,All UK calls included in contracts.
Services,hampshire,DNA test,17,1,15/11/15,
Services,hampshire,Toxicology test,23.33,1,15/11/15,
Services,hampshire,Mobile phone examination,300,1,22/11/15,
Services,hampshire,Forensic stain analysis,85.54,1,30/10/15,
Services,hampshire,Credit report or search,5.75,1,25/11/15,
Services,hampshire,Temporary staff administrator role,10.8,,25/11/15,
Services,hampshire,one-day car hire,30.99,1,23/11/15,
Services,hampshire,30-day car hire,,,,"The force hires vehicles only for short term, such as one or two days. Long term requirements are met by the use of pool cars instead."
Services,hampshire,Ream of 500 sheets of white paper,1.59,200,16/11/15,Volume indicated is maximum volume purchased at a time.
Services,hampshire,Telephone interpreting inc. recording services (per minute),0.45,,25/11/15,Volume information not provided.
Services,hampshire,Face-to-face interpreting for 4 hours (half-day),600,,18/11/15,"Jobs are subject to quotation on a case-by-case basis, as the company has to find suitable individuals who have the necessary skills and can attend various sites, as and when requested. Information on volumes not provided."
Services,hampshire,Standard office cleaning (force average per m2 per year),,,12/12/15,"Contractual arrangements for cleaning services vary across the estate. An average cost cannot be given as it would likely be misleading given the differences in quality and frequency of services provided. In addition, the contract covers specialist cleaning including forensic and custody areas of the Constabulary, where cleaning is more complex, thorough and frequent than anywhere else. The cleaning requirements for each area are looked at separately rather than as a whole."
Services,hampshire,"Gas supply to force headquarters (in ?, based on cost in p per kWh)",0.0287,,25/11/15,Information on volumes not provided.
Services,hampshire,Laptop purchase,470.25,1,20/11/15,These purchases are made by Thames Valley Police on behalf of Hampshire Constabulary. Information on volumes not provided.
Services,hampshire,Desktop purchase,470.25,1,20/11/15,Purchases made by Thames Valley Police on behalf of Hampshire Constabulary. Information on volumes not provided.
Services,hampshire,"PC monitor - 19"" or smaller (inc. cables)",125,1,20/11/15,Purchases made by Thames Valley Police on behalf of Hampshire Constabulary. Information on volumes not provided.
Services,hampshire,"PC monitor - 21"" or wider (inc. cables)",130,1,20/11/15,Purchases are made by Thames Valley Police on behalf of Hampshire Constabulary. Information on volumes not provided.
Services,hampshire,Telephone call charges (per minute),,,20/11/15,The force does not purchase this service.
Services,hertfordshire,DNA test,14.5,399,23/02/16,"This item is purchased on behalf of all three forces (Bedfordshire, Cambridgeshire and Hertfordshire)."
Services,hertfordshire,Toxicology test,28,300,26/02/16,"Purchases are made jointly on behalf of Bedfordshire, Cambridgeshire and Hertfordshire by a single department."
Services,hertfordshire,Mobile phone examination,,,,Service provided in-house by the Hi-tech crime unit. In extreme cases the force requires specialist work from an external supplier at ?250 or ?650 per unit. The former was most recently purchased for 3 phones on 08 February 2016.
Services,hertfordshire,Forensic stain analysis,65,3,22/02/16,
Services,hertfordshire,Credit report or search,1.1,1403,30/11/15,Service paid for in advance.
Services,hertfordshire,Temporary staff administrator role,11.74,37,22/01/16,Hourly rate includes agency fee and statutory charges.
Services,hertfordshire,one-day car hire,19.49,1,03/12/15,
Services,hertfordshire,30-day car hire,,,,There is no record of a 30-day vehicle hire agreement.
Services,hertfordshire,Ream of 500 sheets of white paper,1.87,50,02/04/16,Volume information based on 10 boxes of 5 reams last bought.
Services,hertfordshire,Telephone interpreting inc. recording services (per minute),0.68,8,31/01/16,
Services,hertfordshire,Face-to-face interpreting for 4 hours (half-day),120,4,31/01/16,
Services,hertfordshire,Standard office cleaning (force average per m2 per year),15.45,,01/04/15,Cost is per m2 per annum.
Services,hertfordshire,"Gas supply to force headquarters (in ?, based on cost in p per kWh)",0.0189,6425,09/02/16,
Services,hertfordshire,Laptop purchase,756,3,28/01/16,
Services,hertfordshire,Desktop purchase,316.23,31,29/01/16,HP Elite Desk 705
Services,hertfordshire,"PC monitor - 19"" or smaller (inc. cables)",,,,
Services,hertfordshire,"PC monitor - 21"" or wider (inc. cables)",125,1,22/01/16,"The force does not purchase monitors of this size. Information provided for purchases of monitors size 23""."
Services,hertfordshire,Telephone call charges (per minute),0.0085,,,"There are no peak and off peak rates - just a flat rate; usage is small, as the force predominately uses VOIP."
Services,bedfordshire,DNA test,14.5,399,23/02/16,
Services,bedfordshire,Toxicology test,28,300,26/02/16,"Purchases are made jointly on behalf of Bedfordshire, Cambridgeshire and Hertfordshire by a single department."
Services,bedfordshire,Mobile phone examination,,,,All mobile phone extraction undertaken in-house and therefore the force does not pay any additional costs to suppliers for this type of work.
Services,bedfordshire,Forensic stain analysis,65,3,22/02/16,"Bedfordshire, Cambridgeshire and Hertfordshire Forensics is a collaborative unit led by Hertfordshire Police."
Services,bedfordshire,Credit report or search,1.1,500,31/10/15,
Services,bedfordshire,Temporary staff administrator role,11.37,35,05/02/16,
Services,bedfordshire,one-day car hire,19.49,1,25/11/15,
Services,bedfordshire,30-day car hire,11.25,28,05/11/15,There is no record of a 30-day vehicle hire agreement.
Services,bedfordshire,Ream of 500 sheets of white paper,2.03,1000,08/10/16,Volume information based on 200 boxes of 5 reams. 80GSM.
Services,bedfordshire,Telephone interpreting inc. recording services (per minute),0.68,36,26/01/16,
Services,bedfordshire,Face-to-face interpreting for 4 hours (half-day),120,4,29/01/16,Rate provided is based on a minimum 2-hour peak booking at ?60.00 per hour.
Services,bedfordshire,Standard office cleaning (force average per m2 per year),13,,01/04/15,Charge is per m2 per annum.
Services,bedfordshire,"Gas supply to force headquarters (in ?, based on cost in p per kWh)",0.0166,516,09/02/16,
Services,bedfordshire,Laptop purchase,756,3,28/02/16,"20DKA00200 LENOVO THINKPAD S1 YOGA 12, INTEL 15-5200U (12.5 SWIVEL)"
Services,bedfordshire,Desktop purchase,316,31,29/01/16,
Services,bedfordshire,"PC monitor - 19"" or smaller (inc. cables)",,,,
Services,bedfordshire,"PC monitor - 21"" or wider (inc. cables)",125,1,22/01/16,"The force does not purchase monitors of this size. Information provided for purchases of monitors size 23""."
Services,bedfordshire,Telephone call charges (per minute),0.0085,,,"There are no peak and off peak rates - just a flat rate; usage is small, as the force predominately uses VOIP."
Services,cleveland,DNA test,17,483,31/01/16,Police and Criminal Evidence Act DNA test
Services,cleveland,Toxicology test,29.9,7,31/01/16,Drink driving toxicology test.
Services,cleveland,Mobile phone examination,,,,"In-house provision - service not procured externally. The force may outsource in some cases, however not as an equivalent item to the standard code for comparison."
Services,cleveland,Forensic stain analysis,99,21,31/01/16,Serious Organised Crime DNA test.
Services,cleveland,Credit report or search,,,,"The force does not currently pay for credit card checks, with costs subsumed into strategic contract service provision. The provider uses a service not charged back to the force."
Services,cleveland,Temporary staff administrator role,9.46,666,10/04/15,"?350 for 37 hours per week, for 9 weeks. Legal assistant post."
Services,cleveland,one-day car hire,18,1,08/02/16,
Services,cleveland,30-day car hire,13.85,31,13/01/16,
Services,cleveland,Ream of 500 sheets of white paper,2.03,100,11/02/16,Purchase in boxes of 5 reams (20 boxes purchased).
Services,cleveland,Telephone interpreting inc. recording services (per minute),0.68,1335,08/02/16,
Services,cleveland,Face-to-face interpreting for 4 hours (half-day),112,150.25,19/01/16,"Joint collaboration with Northumbria, Cleveland and Durham forces."
Services,cleveland,Standard office cleaning (force average per m2 per year),10.98,19774,17/02/16,
Services,cleveland,"Gas supply to force headquarters (in ?, based on cost in p per kWh)",0.027,417685,31/01/16,
Services,cleveland,Laptop purchase,375,26,20/01/15,HP 455 BG AMD A6 Pro 7050B
Services,cleveland,Desktop purchase,325,2,20/08/15,HP Elite desk 705 G1 small form factor PC.
Services,cleveland,"PC monitor - 19"" or smaller (inc. cables)",104,20,06/01/16,Square aspect; adjustable height.
Services,cleveland,"PC monitor - 21"" or wider (inc. cables)",,,,The force does not purchase monitors of this size.
Services,cleveland,Telephone call charges (per minute),0.005,413580,01/04/15,Contract was put in place in 2015 and the volume is based on anticipated annual volume from previous years.
Services,merseyside,DNA test,17,1,15/01/16,Single item purchase.
Services,merseyside,Toxicology test,28.15,1,28/01/16,Single item purchase.
Services,merseyside,Mobile phone examination,,,,In-house service provision.
Services,merseyside,Forensic stain analysis,110,1,12/02/16,Single item purchase.
Services,merseyside,Credit report or search,1.1,4284,01/10/15,Information provided for annual volume.
Services,merseyside,Temporary staff administrator role,10.72,467,12/01/16,"Staff administrator hourly rate based on Grade AA, evaluation scale."
Services,merseyside,one-day car hire,18,2,01/02/16,
Services,merseyside,30-day car hire,11.55,46,12/02/16,
Services,merseyside,Ream of 500 sheets of white paper,2.5,25,05/02/16,
Services,merseyside,Telephone interpreting inc. recording services (per minute),0.66,15,01/01/16,
Services,merseyside,Face-to-face interpreting for 4 hours (half-day),124,6.25,22/01/16,The force purchases this service at the rate of ?0.5167 per minute and pricing information provided is calculated for 240 minutes. Volume provided estimated on a total purchase of 375 minutes.
Services,merseyside,Standard office cleaning (force average per m2 per year),,,,Service provided in-house.
Services,merseyside,"Gas supply to force headquarters (in ?, based on cost in p per kWh)",0.0168,394706,11/02/16,Information on volumes based on consumption for the period 01/01/2016 - 01/02/2016. Gas is procured for the force via the Crown Commercial Service who go out to the open market and buy tranches of gas throughout a 6-month time period. The 1.676p rate covers the period 01/10/2015 - 30/09/2016.
Services,merseyside,Laptop purchase,,,,No information provided. In addition to replacing aged desktop machines the force has commenced a roll-out of portable hand held devices in the last 12 months.
Services,merseyside,Desktop purchase,377.5,1000,06/10/16,Model: Dell OptiPlex 7020SFF
Services,merseyside,"PC monitor - 19"" or smaller (inc. cables)",101.76,1,14/02/16,"Local arrangement for the purchase of monitors - Model: Dell P1914S Professional monitor, adjustable height."
Services,merseyside,"PC monitor - 21"" or wider (inc. cables)",103.35,6,10/02/16,"Local arrangement for the purchase of monitors. Model: Dell P2214H Professional monitor, adjustable height. The force does not purchase monitors of this size, but 22""."
Services,merseyside,Telephone call charges (per minute),0.0055,,31/12/15,Consolidated invoice. As the force has devolved budgets there are individual devolved bills submitted. Total quantity / consumption cannot be itemised or distinguished.
Services,dorset,DNA test,17,2664,16/02/16,
Services,dorset,Toxicology test,35,146,22/02/16,
Services,dorset,Mobile phone examination,,,,Service provided in-house.
Services,dorset,Forensic stain analysis,87.3,1,18/02/16,
Services,dorset,Credit report or search,1.1,1,22/02/16,
Services,dorset,Temporary staff administrator role,12.82,720,18/02/16,
Services,dorset,one-day car hire,19.79,1,09/02/16,Rate excludes ?2.50 collection / delivery charge each way.
Services,dorset,30-day car hire,12.25,88,26/11/15,
Services,dorset,Ream of 500 sheets of white paper,1.93,20,27/01/16,"Budget copier caper, 75g A4 white. A new national mini competition has just been competed for office supplies under the Crown Commercial Service framework RM3703, and the force will be moving to this contract in June 2016."
Services,dorset,Telephone interpreting inc. recording services (per minute),0.68,35,16/02/16,
Services,dorset,Face-to-face interpreting for 4 hours (half-day),120,4,12/02/16,
Services,dorset,Standard office cleaning (force average per m2 per year),13,33134,01/04/15,"Price provided per m2 per annum, or ?0.05 per m2 per day."
Services,dorset,"Gas supply to force headquarters (in ?, based on cost in p per kWh)",0.0191,1460576,01/01/16,Information on volumes based on annual consumption.
Services,dorset,Laptop purchase,667.37,10,18/02/16,Standard specifications HP Elitebook 840 G2.
Services,dorset,Desktop purchase,313.99,50,16/10/15,Medium specifications Viglen Genie Slim
Services,dorset,"PC monitor - 19"" or smaller (inc. cables)",67,40,16/10/15,
Services,dorset,"PC monitor - 21"" or wider (inc. cables)",75,50,16/10/15,"The force does not purchase monitors of this size. Information provided for purchases of monitors size 24""."
Services,dorset,Telephone call charges (per minute),0.0049,1469000,01/01/16,Annual volume.
Services,warwickshire,DNA test,19.16,103,18/02/16,The Region is using the National Forensics Framework which has different specifications and price points for the item. This item is Police and Criminal Evidence Act DNA test 07BF (price point A1) which is the most appropriate comparator. Pricing is dictated by tender volumes not by order. The Regional tender was awarded according to Home Office requirements on percentage split across region with different forces taking different suppliers and therefore different prices. A new national forensic contract starts on 01 March 2016 for the whole region.
Services,warwickshire,Toxicology test,26.92,4,26/02/16,Information provided for toxicology test code 01 TOX A1 under the National Forensics Framework. The force is re-tendering under the framework.
Services,warwickshire,Mobile phone examination,225,16,,Price quoted is for Mobile Phone Full analysis + SIM Card. Pricing varies according to individual submission composition. The joint Warwickshire-West Mercia framework has been awarded to two suppliers because of demand and turn-around time requirements and so pricing also varies between suppliers.
